Review Decision,Type,Record ID,Record Name,Public Visibility,Brand/Category,Current Local Filename,To-be Filename,Current Project Path,To-be Project Path,S3 Key,Local Match Status,S3 Status,Planned Action,Local File Match Count,Matched Local Source Path,File Size KB,Content Type,DynamoDB Table,Image Field,Notes
Review,brand,aqara,Aqara,Y,,aqara.png,aqara.png,assets/images/brands/aqara.png,/api/media/brands/2026/06/aqara.png,brands/2026/06/aqara.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\brands\aqara.png,13.7,image/png,rsa_brands,brand_logo_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,brand,arlo,Arlo,Y,,arlo.png,arlo.png,assets/images/brands/arlo.png,/api/media/brands/2026/06/arlo.png,brands/2026/06/arlo.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\brands\arlo.png,8.6,image/png,rsa_brands,brand_logo_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,brand,avtech,AVTech,Y,,avtech.png,avtech.png,assets/images/brands/avtech.png,/api/media/brands/2026/06/avtech.png,brands/2026/06/avtech.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\brands\avtech.png,11.4,image/png,rsa_brands,brand_logo_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,brand,axis,Axis Communications,Y,,axis.png,axis.png,assets/images/brands/axis.png,/api/media/brands/2026/06/axis.png,brands/2026/06/axis.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\brands\axis.png,8.7,image/png,rsa_brands,brand_logo_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,brand,bosch,Bosch,Y,,bosch.png,bosch.png,assets/images/brands/bosch.png,/api/media/brands/2026/06/bosch.png,brands/2026/06/bosch.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\brands\bosch.png,27.0,image/png,rsa_brands,brand_logo_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,brand,cisco,Cisco,Y,,cisco.png,cisco.png,assets/images/brands/cisco.png,/api/media/brands/2026/06/cisco.png,brands/2026/06/cisco.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\brands\cisco.png,20.8,image/png,rsa_brands,brand_logo_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,brand,d-link,D-Link,Y,,dlink.png,dlink.png,assets/images/brands/dlink.png,/api/media/brands/2026/06/dlink.png,brands/2026/06/dlink.png,AMBIGUOUS,MISSING_IN_S3,REVIEW_LOCAL_FILE,2,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\brands\dlink.png | C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\brands\old\dlink.png,,,rsa_brands,brand_logo_path,
Review,brand,dlink,D-Link,Y,,dlink.png,dlink.png,assets/images/brands/dlink.png,/api/media/brands/2026/06/dlink.png,brands/2026/06/dlink.png,AMBIGUOUS,MISSING_IN_S3,REVIEW_LOCAL_FILE,2,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\brands\dlink.png | C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\brands\old\dlink.png,,,rsa_brands,brand_logo_path,
Done,brand,dahua,Dahua,Y,,dahua-860a53.png,dahua-860a53.png,/api/media/brands/2026/06/dahua-860a53.png,/api/media/brands/2026/06/dahua-860a53.png,brands/2026/06/dahua-860a53.png,MISSING,ALREADY_IN_S3,NO_ACTION_ALREADY_IN_S3,0,,,,rsa_brands,brand_logo_path,S3 object already exists.
Review,brand,eufy,Eufy,Y,,eufy.png,eufy.png,assets/images/brands/eufy.png,/api/media/brands/2026/06/eufy.png,brands/2026/06/eufy.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\brands\eufy.png,23.8,image/png,rsa_brands,brand_logo_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,brand,ezviz,EZVIZ,Y,,ezviz.png,ezviz.png,assets/images/brands/ezviz.png,/api/media/brands/2026/06/ezviz.png,brands/2026/06/ezviz.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\brands\ezviz.png,7.9,image/png,rsa_brands,brand_logo_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,brand,hanwha,Hanwha,Y,,hanwha.png,hanwha.png,assets/images/brands/hanwha.png,/api/media/brands/2026/06/hanwha.png,brands/2026/06/hanwha.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\brands\hanwha.png,8.1,image/png,rsa_brands,brand_logo_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Done,brand,hikvision,Hikvision,Y,,hikvision-5e6749.png,hikvision-5e6749.png,/api/media/brands/2026/06/hikvision-5e6749.png,/api/media/brands/2026/06/hikvision-5e6749.png,brands/2026/06/hikvision-5e6749.png,MISSING,ALREADY_IN_S3,NO_ACTION_ALREADY_IN_S3,0,,,,rsa_brands,brand_logo_path,S3 object already exists.
Review,brand,igloohome,igloohome,Y,,igloohome.png,igloohome.png,assets/images/brands/igloohome.png,/api/media/brands/2026/06/igloohome.png,brands/2026/06/igloohome.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\brands\igloohome.png,25.6,image/png,rsa_brands,brand_logo_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,brand,imou,Imou,Y,,imou.png,imou.png,assets/images/brands/imou.png,/api/media/brands/2026/06/imou.png,brands/2026/06/imou.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\brands\imou.png,4.9,image/png,rsa_brands,brand_logo_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,brand,mercusys,Mercusys,Y,,mercusys.png,mercusys.png,assets/images/brands/mercusys.png,/api/media/brands/2026/06/mercusys.png,brands/2026/06/mercusys.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\brands\mercusys.png,5.1,image/png,rsa_brands,brand_logo_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,brand,panasonic,Panasonic,Y,,panasonic.png,panasonic.png,assets/images/brands/panasonic.png,/api/media/brands/2026/06/panasonic.png,brands/2026/06/panasonic.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\brands\panasonic.png,5.8,image/png,rsa_brands,brand_logo_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,brand,seagate,Seagate,Y,,seagate.png,seagate.png,assets/images/brands/seagate.png,/api/media/brands/2026/06/seagate.png,brands/2026/06/seagate.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\brands\seagate.png,6.4,image/png,rsa_brands,brand_logo_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,brand,tplink,TP-Link,Y,,tplink.png,tplink.png,assets/images/brands/tplink.png,/api/media/brands/2026/06/tplink.png,brands/2026/06/tplink.png,AMBIGUOUS,MISSING_IN_S3,REVIEW_LOCAL_FILE,2,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\brands\tplink.png | C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\brands\old\tplink.png,,,rsa_brands,brand_logo_path,
Review,brand,unifi,UniFi,Y,,unifi.png,unifi.png,assets/images/brands/unifi.png,/api/media/brands/2026/06/unifi.png,brands/2026/06/unifi.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\brands\unifi.png,3.9,image/png,rsa_brands,brand_logo_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,brand,uniview,Uniview,Y,,uniview.png,uniview.png,assets/images/brands/uniview.png,/api/media/brands/2026/06/uniview.png,brands/2026/06/uniview.png,AMBIGUOUS,MISSING_IN_S3,REVIEW_LOCAL_FILE,2,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\brands\uniview.png | C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\brands\old\uniview.png,,,rsa_brands,brand_logo_path,
Review,brand,wd,Western Digital,Y,,wd.png,wd.png,assets/images/brands/wd.png,/api/media/brands/2026/06/wd.png,brands/2026/06/wd.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\brands\wd.png,6.3,image/png,rsa_brands,brand_logo_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,brand,western-digital,Western Digital,Y,,wd.png,wd.png,assets/images/brands/wd.png,/api/media/brands/2026/06/wd.png,brands/2026/06/wd.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\brands\wd.png,6.3,image/png,rsa_brands,brand_logo_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,brand,yale,Yale,Y,,yale.png,yale.png,assets/images/brands/yale.png,/api/media/brands/2026/06/yale.png,brands/2026/06/yale.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\brands\yale.png,24.6,image/png,rsa_brands,brand_logo_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,product,CCTV-0000011,AVTech 2MP Motorized Varifocal Lens Bullet IP Camera,Y,CCTV Cameras,bullet-camera-04.png,bullet-camera-04.png,assets/images/products/bullet-camera-04.png,/api/media/products/2026/06/bullet-camera-04.png,products/2026/06/bullet-camera-04.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\products\bullet-camera-04.png,236.6,image/png,rsa_products,image_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
Review,product,ACCS-0000001,AXIS F7308 Cable Black 8m,Y,Accessories,cable-01.png,cable-01.png,assets/images/products/cable-01.png,/api/media/products/2026/06/cable-01.png,products/2026/06/cable-01.png,FOUND,MISSING_IN_S3,UPLOAD_AND_UPDATE_RECORD_REVIEW,1,C:\Users\johnb\Downloads\AWS Project\cctv-crm-project\frontend\assets\images\products\cable-01.png,170.5,image/png,rsa_products,image_path,Old static path found; review before changing DynamoDB path to To-be Project Path.
